,Job_Title,Company,Link,Description,Date Posted,Min Salary,Max Salary,Salary Type
0,Junior Software Developer,Binary Logic IT.,https://www.indeed.com/company/Binary-Logic-IT./jobs/Junior-Software-Developer-855ee94671142d8e?fccid=1f3a43cc2a1fe732&vjs=3,"Job Title:- Junior Java Full stack Developer
Location:- City Name, Ohio
Employment Type:- Full time
Looking for a candidate with the following skill sets:
Full stack Java developer with 0 to 1 yr years in Java/J2EE

Knowledge of Java Full Stack development, Agile pair-programming, JUnit Java Spring Boot
Knowledge of the following: Spring Core, Spring Tx, REST, JMS
Spring Data, Hibernate, JPA, JDBC
working knowledge in SQL, PL/SQL
working knowledge in Application Servers: Spring Boot
Strong working knowledge in React JS\ Angular JS
Experience in Java performance tuning, debugging and memory profiling
Strong working knowledge of OOD, Design Patterns, Testing frameworks
Experience in all phases of the SDLC
Experience developing continuous integration, continuous delivery and continuous deployment pipelines for distributed apps, using tools such as Jenkins or Concourse CI
Evidence of troubleshooting and solving problems in a highly technical customer focused service environment
Committed to delivering quality and well-tested software
Disciplined and successful in delivering accurate and timely results
Bachelor Degree or equivalent in Computer Science, Mathematics, or related field

Benefits:

On-going cross functional Enterprise skill based advancement.
OCJP Certification
Free Accommodation
Visa Sponsorship

Job Type: Full-time
Salary: $60,000.00 - $80,000.00 per year
Benefits:

Health insurance

Schedule:

8 hour shift
Day shift
Monday to Friday

Ability to commute/relocate:

Sterling, VA 20166: Reliably commute or planning to relocate before starting work (Preferred)

Education:

Bachelor's (Preferred)

Work Location: One locationHealth insurance",2023-04-11T19:31:20Z,60000,80000,YEAR
1,Junior Software Developer,Binary Logic IT LLC,https://www.indeed.com/company/Binary-Logic-IT-LLC/jobs/Junior-Software-Developer-9eea73aec6550491?fccid=a13f2e1bd1a13a6c&vjs=3,"Job Title:- Junior Java Full stack Developer
Location:- City Name, Ohio
Employment Type:- Full time
Looking for a candidate with the following skill sets:
Full stack Java developer with 0 to 1 yr years in Java/J2EE

Knowldge of Java Full Stack development, Agile pair-programming, JUnit Java Spring Boot
Knowledge of the following: Spring Core, Spring Tx, REST, JMS
Spring Data, Hibernate, JPA, JDBC
working knowledge in SQL, PL/SQL
working knowledge in Application Servers: Spring Boot
Strong working knowledge in React JS\ Angular JS
Experience in Java performance tuning, debugging and memory profiling
Strong working knowledge of OOD, Design Patterns, Testing frameworks
Experience in all phases of the SDLC
Experience developing continuous integration, continuous delivery and continuous deployment pipelines for distributed apps, using tools such as Jenkins or Concourse CI
Evidence of troubleshooting and solving problems in a highly technical customer focused service environment
Committed to delivering quality and well-tested software
Disciplined and successful in delivering accurate and timely results
Bachelor Degree or equivalent in Computer Science, Mathematics, or related field

Benefits:

On-going cross functional Enterprise skill based advancement.
OCJP Certification
Free Accommodation
Visa Sponsorship

Job Type: Full-time
Salary: $60,000.00 - $75,000.00 per year
Benefits:

Health insurance
Relocation assistance

Schedule:

8 hour shift
Day shift
Monday to Friday

Ability to commute/relocate:

Dayton, OH 45458: Reliably commute or planning to relocate before starting work (Preferred)

Education:

Master's (Preferred)

Experience:

Java: 1 year (Preferred)

Work Location: One locationHealth insurance",2023-04-11T20:23:04Z,60000,75000,YEAR
